doid_id	drugbank_id	disease	drug	category	n_curators	n_resources	piece
DOID:0050156	DB00860	idiopathic pulmonary fibrosis	Prednisolone	SYM	3	1	0
DOID:0050425	DB00193	restless legs syndrome	Tramadol	SYM	3	1	0
DOID:0050425	DB00996	restless legs syndrome	Gabapentin	SYM	3	3	0
DOID:0050741	DB00704	alcohol dependence	Naltrexone	DM	2	1	0
DOID:0050741	DB00904	alcohol dependence	Ondansetron	SYM	2	1	0
DOID:1024	DB01041	leprosy	Thalidomide	DM	2	1	0
DOID:10283	DB00286	prostate cancer	Conjugated Estrogens	DM	2	1	0
DOID:10283	DB00482	prostate cancer	Celecoxib	SYM	2	1	0
DOID:10283	DB00499	prostate cancer	Flutamide	DM	3	2	0
DOID:10283	DB00706	prostate cancer	Tamsulosin	SYM	3	1	0
DOID:10283	DB01204	prostate cancer	Mitoxantrone	DM	3	2	0
DOID:10283	DB01248	prostate cancer	Docetaxel	DM	3	3	0
DOID:10283	DB06699	prostate cancer	Degarelix	DM	3	1	0
DOID:10283	DB06772	prostate cancer	Cabazitaxel	DM	3	1	0
DOID:10534	DB00322	stomach cancer	Floxuridine	DM	3	1	0
DOID:10652	DB00190	Alzheimer's disease	Carbidopa	NOT	3	1	0
DOID:10652	DB00268	Alzheimer's disease	Ropinirole	SYM	2	1	0
DOID:10652	DB00413	Alzheimer's disease	Pramipexole	NOT	3	1	0
DOID:10652	DB00502	Alzheimer's disease	Haloperidol	SYM	2	1	0
DOID:10652	DB00674	Alzheimer's disease	Galantamine	DM	1	4	0
DOID:10652	DB00843	Alzheimer's disease	Donepezil	DM	2	1	0
DOID:10763	DB00195	hypertension	Betaxolol	DM	2	1	0
DOID:10763	DB00227	hypertension	Lovastatin	NOT	3	1	0
DOID:10763	DB00325	hypertension	Nitroprusside	NOT	1	1	0
DOID:10763	DB00449	hypertension	Dipivefrin	NOT	3	1	0
DOID:10763	DB00524	hypertension	Metolazone	DM	2	1	0
DOID:10763	DB00790	hypertension	Perindopril	DM	3	2	0
DOID:10763	DB00820	hypertension	Tadalafil	NOT	1	3	0
DOID:10763	DB00881	hypertension	Quinapril	DM	2	4	0
DOID:10763	DB00968	hypertension	Methyldopa	DM	2	4	0
DOID:10763	DB01023	hypertension	Felodipine	DM	2	1	0
DOID:10763	DB01083	hypertension	Orlistat	NOT	2	1	0
DOID:10763	DB01085	hypertension	Pilocarpine	NOT	3	1	0
DOID:10763	DB01136	hypertension	Carvedilol	DM	2	1	0
DOID:10763	DB01162	hypertension	Terazosin	DM	2	1	0
DOID:10763	DB01234	hypertension	Dexamethasone	NOT	3	1	0
DOID:10763	DB01275	hypertension	Hydralazine	DM	2	4	0
