doid_id	drugbank_id	disease	drug	category	n_curators	n_resources	piece
DOID:0050425	DB00190	restless legs syndrome	Carbidopa	SYM	3	1	4
DOID:0050425	DB00230	restless legs syndrome	Pregabalin	SYM	3	1	4
DOID:0050425	DB00575	restless legs syndrome	Clonidine	SYM	3	1	4
DOID:0050741	DB00215	alcohol dependence	Citalopram	DM	2	1	4
DOID:0050741	DB00822	alcohol dependence	Disulfiram	DM	2	1	4
DOID:0050742	DB00184	nicotine dependence	Nicotine	SYM	2	1	4
DOID:0060073	DB00563	lymphatic system cancer	Methotrexate	DM	3	1	4
DOID:0060073	DB00987	lymphatic system cancer	Cytarabine	DM	3	1	4
DOID:1024	DB00250	leprosy	Dapsone	DM	3	2	4
DOID:10283	DB00230	prostate cancer	Pregabalin	NOT	3	1	4
DOID:10283	DB00399	prostate cancer	Zoledronate	NOT	2	2	4
DOID:10283	DB00443	prostate cancer	Betamethasone	SYM	3	1	4
DOID:10283	DB00877	prostate cancer	Sirolimus	NOT	2	1	4
DOID:10283	DB00977	prostate cancer	Ethinyl Estradiol	DM	2	1	4
DOID:10283	DB01005	prostate cancer	Hydroxyurea	NOT	2	1	4
DOID:10283	DB01101	prostate cancer	Capecitabine	DM	3	1	4
DOID:10283	DB01234	prostate cancer	Dexamethasone	SYM	2	1	4
DOID:10534	DB00305	stomach cancer	Mitomycin	DM	3	2	4
DOID:10652	DB00747	Alzheimer's disease	Scopolamine	NOT	3	1	4
DOID:10652	DB00810	Alzheimer's disease	Biperiden	NOT	2	1	4
DOID:10652	DB00989	Alzheimer's disease	Rivastigmine	DM	1	3	4
DOID:10763	DB00203	hypertension	Sildenafil	NOT	2	3	4
DOID:10763	DB00270	hypertension	Isradipine	DM	2	1	4
DOID:10763	DB00275	hypertension	Olmesartan	DM	3	4	4
DOID:10763	DB00287	hypertension	Travoprost	NOT	3	1	4
DOID:10763	DB00381	hypertension	Amlodipine	DM	3	1	4
DOID:10763	DB00559	hypertension	Bosentan	NOT	1	3	4
DOID:10763	DB00575	hypertension	Clonidine	DM	2	4	4
DOID:10763	DB00692	hypertension	Phentolamine	SYM	3	2	4
DOID:10763	DB00761	hypertension	Potassium Chloride	NOT	3	1	4
DOID:10763	DB00800	hypertension	Fenoldopam	DM	2	1	4
DOID:10763	DB00808	hypertension	Indapamide	DM	2	1	4
DOID:10763	DB00876	hypertension	Eprosartan	DM	3	2	4
DOID:10763	DB00966	hypertension	Telmisartan	DM	3	4	4
DOID:10763	DB01018	hypertension	Guanfacine	DM	3	4	4
DOID:10763	DB01115	hypertension	Nifedipine	DM	2	4	4
DOID:10763	DB01118	hypertension	Amiodarone	NOT	2	1	4
DOID:10763	DB01174	hypertension	Phenobarbital	NOT	3	1	4
DOID:10763	DB01210	hypertension	Levobunolol	NOT	2	1	4
DOID:10763	DB01244	hypertension	Bepridil	DM	1	1	4
DOID:10763	DB04861	hypertension	Nebivolol	DM	3	1	4
DOID:10763	DB05389	hypertension	WF10	NOT	3	1	4
DOID:1094	DB00182	attention deficit hyperactivity disorder	Amphetamine	SYM	3	1	4
DOID:1094	DB01156	attention deficit hyperactivity disorder	Bupropion	SYM	3	1	4
DOID:1094	DB01577	attention deficit hyperactivity disorder	Methamphetamine	SYM	3	1	4
DOID:11054	DB00441	urinary bladder cancer	Gemcitabine	DM	3	1	4
DOID:11054	DB00445	urinary bladder cancer	Epirubicin	DM	3	1	4
DOID:11054	DB04572	urinary bladder cancer	Thiotepa	DM	3	1	4
DOID:11119	DB00575	Gilles de la Tourette syndrome	Clonidine	SYM	3	2	4
DOID:11119	DB01100	Gilles de la Tourette syndrome	Pimozide	SYM	3	1	4
DOID:1115	DB00773	sarcoma	Etoposide	DM	3	1	4
DOID:11476	DB00258	osteoporosis	Calcium Acetate	DM	2	1	4
DOID:11476	DB00282	osteoporosis	Pamidronate	DM	3	1	4
DOID:11476	DB00399	osteoporosis	Zoledronate	DM	3	4	4
DOID:11476	DB00481	osteoporosis	Raloxifene	DM	3	4	4
DOID:11476	DB00977	osteoporosis	Ethinyl Estradiol	DM	3	1	4
DOID:11612	DB00331	polycystic ovary syndrome	Metformin	DM	3	1	4
DOID:11612	DB01395	polycystic ovary syndrome	Drospirenone	SYM	2	1	4
DOID:11714	DB01016	gestational diabetes	Glyburide	DM	3	1	4
DOID:1192	DB00541	peripheral nervous system neoplasm	Vincristine	DM	2	2	4
DOID:1192	DB00851	peripheral nervous system neoplasm	Dacarbazine	DM	3	2	4
DOID:12236	DB00859	primary biliary cirrhosis	Penicillamine	NOT	2	1	4
DOID:12236	DB06777	primary biliary cirrhosis	Chenodeoxycholic acid	DM	1	1	4
DOID:12306	DB00600	vitiligo	Monobenzone	SYM	2	1	4
DOID:12365	DB00250	malaria	Dapsone	DM	3	1	4
DOID:12365	DB00806	malaria	Pentoxifylline	DM	2	1	4
DOID:12365	DB06697	malaria	Artemether	DM	3	1	4
DOID:1312	DB00091	focal segmental glomerulosclerosis	Cyclosporine	DM	3	1	4
DOID:13189	DB00860	gout	Prednisolone	DM	2	2	4
DOID:1319	DB01168	brain cancer	Procarbazine	DM	3	1	4
DOID:1319	DB01234	brain cancer	Dexamethasone	SYM	3	2	4
DOID:1324	DB00158	lung cancer	Folic Acid	NOT	3	1	4
DOID:1324	DB00444	lung cancer	Teniposide	DM	3	1	4
DOID:1324	DB00563	lung cancer	Methotrexate	DM	3	1	4
DOID:1324	DB00642	lung cancer	Pemetrexed	DM	3	2	4
DOID:1324	DB00813	lung cancer	Fentanyl	SYM	3	1	4
DOID:14330	DB00376	Parkinson's disease	Trihexyphenidyl	SYM	3	1	4
DOID:14330	DB00425	Parkinson's disease	Zolpidem	NOT	2	1	4
DOID:14330	DB00494	Parkinson's disease	Entacapone	SYM	3	3	4
DOID:14330	DB00989	Parkinson's disease	Rivastigmine	SYM	3	4	4
DOID:14330	DB01075	Parkinson's disease	Diphenhydramine	SYM	2	1	4
DOID:14330	DB01224	Parkinson's disease	Quetiapine	NOT	2	1	4
DOID:14330	DB05271	Parkinson's disease	Rotigotine	SYM	3	1	4
