doid_id	drugbank_id	disease	drug	category	n_curators	n_resources	piece
DOID:0050425	DB00268	restless legs syndrome	Ropinirole	SYM	3	4	2
DOID:0050742	DB01273	nicotine dependence	Varenicline	DM	2	1	2
DOID:0060073	DB00262	lymphatic system cancer	Carmustine	DM	3	1	2
DOID:0060073	DB00444	lymphatic system cancer	Teniposide	DM	3	1	2
DOID:0060073	DB00541	lymphatic system cancer	Vincristine	DM	3	1	2
DOID:0060073	DB00888	lymphatic system cancer	Mechlorethamine	DM	3	1	2
DOID:0060073	DB01204	lymphatic system cancer	Mitoxantrone	DM	2	1	2
DOID:1024	DB01045	leprosy	Rifampicin	DM	3	2	2
DOID:10283	DB00014	prostate cancer	Goserelin	DM	3	2	2
DOID:10283	DB00175	prostate cancer	Pravastatin	NOT	2	1	2
DOID:10283	DB00331	prostate cancer	Metformin	NOT	3	1	2
DOID:10283	DB00445	prostate cancer	Epirubicin	DM	3	1	2
DOID:10283	DB00635	prostate cancer	Prednisone	DM	1	1	2
DOID:10283	DB00655	prostate cancer	Estrone	DM	2	1	2
DOID:10283	DB00736	prostate cancer	Esomeprazole	SYM	2	1	2
DOID:10283	DB00773	prostate cancer	Etoposide	DM	3	2	2
DOID:10283	DB00997	prostate cancer	Doxorubicin	DM	3	1	2
DOID:10534	DB00563	stomach cancer	Methotrexate	DM	3	2	2
DOID:10534	DB00762	stomach cancer	Irinotecan	DM	3	1	2
DOID:10534	DB01248	stomach cancer	Docetaxel	DM	3	2	2
DOID:10652	DB00313	Alzheimer's disease	Valproic Acid	NOT	3	2	2
DOID:10652	DB01043	Alzheimer's disease	Memantine	DM	1	3	2
DOID:10763	DB00177	hypertension	Valsartan	DM	3	4	2
DOID:10763	DB00178	hypertension	Ramipril	DM	3	4	2
DOID:10763	DB00214	hypertension	Torasemide	DM	1	3	2
DOID:10763	DB00218	hypertension	Moxifloxacin	NOT	2	1	2
DOID:10763	DB00226	hypertension	Guanadrel	DM	3	1	2
DOID:10763	DB00364	hypertension	Sucralfate	NOT	3	1	2
DOID:10763	DB00384	hypertension	Triamterene	DM	2	1	2
DOID:10763	DB00401	hypertension	Nisoldipine	DM	2	1	2
DOID:10763	DB00436	hypertension	Bendroflumethiazide	DM	3	1	2
DOID:10763	DB00443	hypertension	Betamethasone	NOT	3	1	2
DOID:10763	DB00492	hypertension	Fosinopril	DM	3	4	2
DOID:10763	DB00519	hypertension	Trandolapril	DM	3	2	2
DOID:10763	DB00584	hypertension	Enalapril	DM	3	4	2
DOID:10763	DB00598	hypertension	Labetalol	DM	3	1	2
